sex,row_number,liters_drunk,age,drink,check_number,label
0,79.0,2,66,Cola,3116,0
1,23.0,0,10,Fanta,8118,0
1,92.0,0,18,Fanta,2264,1
0,52.0,5,67,Beerbeer,7640,1
0,57.0,2,27,Beerbeer,8764,0
1,15.0,1,44,Bugbeer,6235,0
0,49.0,0,11,Cola,185,1
1,33.0,5,64,Fanta,2970,1
0,5.0,0,39,Water,6494,0
1,48.0,1,64,Water,9971,1
0,78.0,2,51,Water,3592,0
1,32.0,2,35,Strong beer,2021,0
0,12.0,3,59,Cola,5675,1
0,16.0,5,77,Bugbeer,1637,0
0,46.0,2,37,Strong beer,7830,1
0,4.0,3,18,Cola,2174,1
1,100.0,2,15,Cola,2468,0
0,40.0,3,55,Water,8793,0
1,9.0,4,47,Bugbeer,6079,1
1,8.0,4,51,Fanta,839,1
0,95.0,1,71,Strong beer,1634,1
1,70.0,2,31,Fanta,7091,0
1,52.0,3,38,Fanta,6992,1
0,44.0,4,42,Strong beer,3258,1
0,6.0,5,63,Water,6664,0
0,86.0,0,55,Fanta,2104,1
1,40.0,4,46,Water,1784,1
0,57.0,3,22,Cola,2744,0
0,82.0,5,10,Water,4306,1
1,4.0,2,18,Water,814,0
1,67.0,0,40,Fanta,2285,0
1,52.0,3,50,Beerbeer,3395,0
0,33.0,2,60,Fanta,8192,1
0,48.0,2,53,Cola,4185,0
1,29.0,1,49,Cola,2884,0
0,34.0,0,12,Cola,2506,0
1,100.0,5,24,Water,9165,1
0,96.0,4,70,Fanta,1639,1
0,50.0,4,48,Fanta,8911,1
0,45.0,2,79,Beerbeer,3519,1
1,42.0,5,60,Beerbeer,1994,1
1,29.0,5,56,Cola,1522,1
1,20.0,5,72,Fanta,4966,0
1,3.0,4,29,Strong beer,4029,1
1,18.0,1,60,Water,4629,0
1,96.0,3,80,Beerbeer,1279,0
1,89.0,3,54,Beerbeer,567,1
1,33.0,1,66,Strong beer,3628,1
0,31.0,0,53,Fanta,9976,0
1,30.0,3,75,Fanta,2632,0
0,35.0,5,68,Strong beer,1230,1
0,95.0,2,29,Water,85,0
0,53.0,5,38,Fanta,5084,1
0,95.0,1,78,Beerbeer,3003,1
0,90.0,2,23,Bugbeer,2593,0
0,58.0,2,67,Beerbeer,3953,0
0,33.0,4,40,Strong beer,6224,1
0,13.0,5,76,Fanta,8053,0
0,74.0,0,61,Beerbeer,5697,1
0,64.0,2,30,Fanta,3468,1
0,65.0,4,17,Water,6361,0
0,55.0,1,27,Fanta,6532,1
1,20.0,5,72,Water,8357,0
1,29.0,1,70,Cola,8335,0
1,78.0,4,43,Water,8632,0
0,33.0,4,33,Beerbeer,2025,1
0,39.0,5,27,Fanta,3213,0
1,88.0,2,47,Bugbeer,9372,0
0,26.0,4,41,Beerbeer,9127,1
0,77.0,5,80,Fanta,7205,1
0,15.0,5,29,Beerbeer,123,1
1,3.0,0,64,Water,6824,1
1,56.0,0,43,Beerbeer,7045,1
1,48.0,2,16,Fanta,6760,1
0,47.0,1,14,Water,3086,0
0,71.0,4,27,Bugbeer,4139,1
1,96.0,2,20,Cola,7933,1
0,79.0,4,80,Strong beer,5563,0
1,40.0,3,74,Strong beer,9401,0
0,48.0,1,20,Cola,1486,1
0,78.0,4,28,Beerbeer,2855,1
0,67.0,1,31,Cola,2676,1
0,13.0,4,67,Cola,7858,1
0,89.0,1,41,Cola,5555,0
0,39.0,5,40,Fanta,4056,0
1,73.0,1,12,Cola,2453,0
0,100.0,0,42,Fanta,5624,1
0,14.0,3,71,Strong beer,2121,0
0,4.0,4,46,Bugbeer,2473,1
1,27.0,3,40,Strong beer,5953,0
1,0.0,2,48,Fanta,639,1
0,53.0,1,71,Water,162,0
0,2.0,3,31,Water,6112,1
1,35.0,4,28,Bugbeer,3139,1
0,19.0,3,76,Strong beer,4709,0
1,14.0,1,16,Fanta,5079,1
1,72.0,3,13,Water,5808,1
0,79.0,0,63,Strong beer,5989,0
1,58.0,0,71,Cola,8066,0
1,100.0,2,72,Water,2154,0
1,26.0,4,49,Beerbeer,9388,1
0,30.0,1,24,Strong beer,3260,1
0,88.0,3,77,Fanta,9580,0
0,27.0,5,26,Strong beer,3944,1
0,65.0,4,44,Bugbeer,1652,1
1,0.0,1,46,Cola,830,0
0,77.0,3,11,Water,4520,1
0,48.0,3,63,Bugbeer,4408,0
1,83.0,5,13,Water,8163,1
1,29.0,2,63,Fanta,2608,0
0,87.0,2,34,Bugbeer,745,1
1,100.0,3,74,Cola,5595,0
0,100.0,5,31,Cola,2294,1
1,42.0,2,28,Water,2595,0
1,70.0,3,58,Fanta,5902,1
0,7.0,2,15,Cola,4800,1
1,8.0,0,45,Water,9859,1
1,96.0,2,28,Water,7648,0
1,23.0,5,72,Strong beer,3011,1
1,16.0,2,28,Bugbeer,6912,0
0,44.0,4,38,Cola,937,0
1,93.0,1,45,Cola,9303,0
1,16.0,3,63,Strong beer,3750,1
0,9.0,5,27,Strong beer,2367,1
0,9.0,0,70,Water,7185,1
1,45.0,2,49,Strong beer,7959,1
1,30.0,5,43,Fanta,2546,1
0,17.0,0,80,Cola,2193,0
1,9.0,3,80,Strong beer,7851,1
1,98.0,2,53,Cola,1411,1
0,77.0,4,70,Cola,907,0
1,27.0,2,47,Water,8777,1
1,91.0,4,65,Fanta,8738,0
