sex,row_number,liters_drunk,age,drink,check_number,label,age_child,age_adult,age_old,session_start,start_morning,start_afternoon,start_evening
0,79.0,2,66,0,3116,0,0,0,1,21,0,0,1
1,23.0,0,10,0,8118,0,1,0,0,15,0,1,0
1,92.0,0,18,0,2264,1,0,1,0,22,0,0,1
0,52.0,5,67,1,7640,1,0,0,1,23,0,0,1
0,57.0,2,27,1,8764,0,0,1,0,15,0,1,0
1,15.0,1,44,1,6235,0,0,1,0,8,1,0,0
0,49.0,0,11,0,185,1,1,0,0,6,1,0,0
1,33.0,5,64,0,2970,1,0,0,1,14,0,1,0
0,5.0,0,39,0,6494,0,0,1,0,14,0,1,0
1,48.0,1,64,0,9971,1,0,0,1,15,0,1,0
0,78.0,2,51,0,3592,0,0,0,1,22,0,0,1
1,32.0,2,35,1,2021,0,0,1,0,7,1,0,0
0,12.0,3,59,0,5675,1,0,0,1,14,0,1,0
0,16.0,5,77,1,1637,0,0,0,1,15,0,1,0
0,46.0,2,37,1,7830,1,0,1,0,15,0,1,0
0,4.0,3,18,0,2174,1,0,1,0,21,0,0,1
1,100.0,2,15,0,2468,0,1,0,0,23,0,0,1
0,40.0,3,55,0,8793,0,0,0,1,7,1,0,0
1,9.0,4,47,1,6079,1,0,1,0,22,0,0,1
1,8.0,4,51,0,839,1,0,0,1,6,1,0,0
0,95.0,1,71,1,1634,1,0,0,1,22,0,0,1
1,70.0,2,31,0,7091,0,0,1,0,8,1,0,0
1,52.0,3,38,0,6992,1,0,1,0,23,0,0,1
0,44.0,4,42,1,3258,1,0,1,0,7,1,0,0
0,6.0,5,63,0,6664,0,0,0,1,7,1,0,0
0,86.0,0,55,0,2104,1,0,0,1,21,0,0,1
1,40.0,4,46,0,1784,1,0,1,0,7,1,0,0
0,57.0,3,22,0,2744,0,0,1,0,14,0,1,0
0,82.0,5,10,0,4306,1,1,0,0,21,0,0,1
1,4.0,2,18,0,814,0,0,1,0,14,0,1,0
1,67.0,0,40,0,2285,0,0,1,0,23,0,0,1
1,52.0,3,50,1,3395,0,0,1,0,15,0,1,0
0,33.0,2,60,0,8192,1,0,0,1,6,1,0,0
0,48.0,2,53,0,4185,0,0,0,1,14,0,1,0
1,29.0,1,49,0,2884,0,0,1,0,15,0,1,0
0,34.0,0,12,0,2506,0,1,0,0,15,0,1,0
1,100.0,5,24,0,9165,1,0,1,0,22,0,0,1
0,96.0,4,70,0,1639,1,0,0,1,7,1,0,0
0,50.0,4,48,0,8911,1,0,1,0,8,1,0,0
0,45.0,2,79,1,3519,1,0,0,1,6,1,0,0
1,42.0,5,60,1,1994,1,0,0,1,22,0,0,1
1,29.0,5,56,0,1522,1,0,0,1,21,0,0,1
1,20.0,5,72,0,4966,0,0,0,1,7,1,0,0
1,3.0,4,29,1,4029,1,0,1,0,22,0,0,1
1,18.0,1,60,0,4629,0,0,0,1,15,0,1,0
1,96.0,3,80,1,1279,0,0,0,1,14,0,1,0
1,89.0,3,54,1,567,1,0,0,1,22,0,0,1
1,33.0,1,66,1,3628,1,0,0,1,7,1,0,0
0,31.0,0,53,0,9976,0,0,0,1,15,0,1,0
1,30.0,3,75,0,2632,0,0,0,1,14,0,1,0
0,35.0,5,68,1,1230,1,0,0,1,14,0,1,0
0,95.0,2,29,0,85,0,0,1,0,7,1,0,0
0,53.0,5,38,0,5084,1,0,1,0,15,0,1,0
0,95.0,1,78,1,3003,1,0,0,1,15,0,1,0
0,90.0,2,23,1,2593,0,0,1,0,6,1,0,0
0,58.0,2,67,1,3953,0,0,0,1,21,0,0,1
0,33.0,4,40,1,6224,1,0,1,0,23,0,0,1
0,13.0,5,76,0,8053,0,0,0,1,22,0,0,1
0,74.0,0,61,1,5697,1,0,0,1,7,1,0,0
0,64.0,2,30,0,3468,1,0,1,0,21,0,0,1
0,65.0,4,17,0,6361,0,1,0,0,22,0,0,1
0,55.0,1,27,0,6532,1,0,1,0,21,0,0,1
1,20.0,5,72,0,8357,0,0,0,1,22,0,0,1
1,29.0,1,70,0,8335,0,0,0,1,21,0,0,1
1,78.0,4,43,0,8632,0,0,1,0,22,0,0,1
0,33.0,4,33,1,2025,1,0,1,0,23,0,0,1
0,39.0,5,27,0,3213,0,0,1,0,21,0,0,1
1,88.0,2,47,1,9372,0,0,1,0,15,0,1,0
0,26.0,4,41,1,9127,1,0,1,0,22,0,0,1
0,77.0,5,80,0,7205,1,0,0,1,7,1,0,0
0,15.0,5,29,1,123,1,0,1,0,7,1,0,0
1,3.0,0,64,0,6824,1,0,0,1,8,1,0,0
1,56.0,0,43,1,7045,1,0,1,0,7,1,0,0
1,48.0,2,16,0,6760,1,1,0,0,23,0,0,1
0,47.0,1,14,0,3086,0,1,0,0,22,0,0,1
0,71.0,4,27,1,4139,1,0,1,0,14,0,1,0
1,96.0,2,20,0,7933,1,0,1,0,8,1,0,0
0,79.0,4,80,1,5563,0,0,0,1,14,0,1,0
1,40.0,3,74,1,9401,0,0,0,1,15,0,1,0
0,48.0,1,20,0,1486,1,0,1,0,22,0,0,1
0,78.0,4,28,1,2855,1,0,1,0,8,1,0,0
0,67.0,1,31,0,2676,1,0,1,0,21,0,0,1
0,13.0,4,67,0,7858,1,0,0,1,15,0,1,0
0,89.0,1,41,0,5555,0,0,1,0,23,0,0,1
0,39.0,5,40,0,4056,0,0,1,0,22,0,0,1
1,73.0,1,12,0,2453,0,1,0,0,6,1,0,0
0,100.0,0,42,0,5624,1,0,1,0,21,0,0,1
0,14.0,3,71,1,2121,0,0,0,1,6,1,0,0
0,4.0,4,46,1,2473,1,0,1,0,15,0,1,0
1,27.0,3,40,1,5953,0,0,1,0,21,0,0,1
1,0.0,2,48,0,639,1,0,1,0,6,1,0,0
0,53.0,1,71,0,162,0,0,0,1,14,0,1,0
0,2.0,3,31,0,6112,1,0,1,0,6,1,0,0
1,35.0,4,28,1,3139,1,0,1,0,6,1,0,0
0,19.0,3,76,1,4709,0,0,0,1,23,0,0,1
1,14.0,1,16,0,5079,1,1,0,0,23,0,0,1
1,72.0,3,13,0,5808,1,1,0,0,22,0,0,1
0,79.0,0,63,1,5989,0,0,0,1,7,1,0,0
1,58.0,0,71,0,8066,0,0,0,1,22,0,0,1
1,100.0,2,72,0,2154,0,0,0,1,6,1,0,0
1,26.0,4,49,1,9388,1,0,1,0,23,0,0,1
0,30.0,1,24,1,3260,1,0,1,0,21,0,0,1
0,88.0,3,77,0,9580,0,0,0,1,15,0,1,0
0,27.0,5,26,1,3944,1,0,1,0,22,0,0,1
0,65.0,4,44,1,1652,1,0,1,0,15,0,1,0
1,0.0,1,46,0,830,0,0,1,0,15,0,1,0
0,77.0,3,11,0,4520,1,1,0,0,22,0,0,1
0,48.0,3,63,1,4408,0,0,0,1,15,0,1,0
1,83.0,5,13,0,8163,1,1,0,0,15,0,1,0
1,29.0,2,63,0,2608,0,0,0,1,8,1,0,0
0,87.0,2,34,1,745,1,0,1,0,6,1,0,0
1,100.0,3,74,0,5595,0,0,0,1,8,1,0,0
0,100.0,5,31,0,2294,1,0,1,0,7,1,0,0
1,42.0,2,28,0,2595,0,0,1,0,15,0,1,0
1,70.0,3,58,0,5902,1,0,0,1,23,0,0,1
0,7.0,2,15,0,4800,1,1,0,0,14,0,1,0
1,8.0,0,45,0,9859,1,0,1,0,21,0,0,1
1,96.0,2,28,0,7648,0,0,1,0,7,1,0,0
1,23.0,5,72,1,3011,1,0,0,1,22,0,0,1
1,16.0,2,28,1,6912,0,0,1,0,15,0,1,0
0,44.0,4,38,0,937,0,0,1,0,6,1,0,0
1,93.0,1,45,0,9303,0,0,1,0,7,1,0,0
1,16.0,3,63,1,3750,1,0,0,1,15,0,1,0
0,9.0,5,27,1,2367,1,0,1,0,6,1,0,0
0,9.0,0,70,0,7185,1,0,0,1,8,1,0,0
1,45.0,2,49,1,7959,1,0,1,0,23,0,0,1
1,30.0,5,43,0,2546,1,0,1,0,22,0,0,1
0,17.0,0,80,0,2193,0,0,0,1,23,0,0,1
1,9.0,3,80,1,7851,1,0,0,1,15,0,1,0
1,98.0,2,53,0,1411,1,0,0,1,21,0,0,1
0,77.0,4,70,0,907,0,0,0,1,6,1,0,0
1,27.0,2,47,0,8777,1,0,1,0,7,1,0,0
1,91.0,4,65,0,8738,0,0,0,1,6,1,0,0
1,24.0,0,57,1,6615,1,0,0,1,7,1,0,0
0,41.0,5,17,0,4945,1,1,0,0,6,1,0,0
0,91.0,1,68,0,9076,0,0,0,1,15,0,1,0
0,12.0,0,30,1,3502,0,0,1,0,15,0,1,0
1,82.0,4,76,1,5950,1,0,0,1,6,1,0,0
1,8.0,2,18,0,9518,1,0,1,0,23,0,0,1
0,94.0,5,55,1,5689,1,0,0,1,21,0,0,1
0,59.0,1,76,0,2048,0,0,0,1,14,0,1,0
0,23.0,4,24,1,8392,1,0,1,0,23,0,0,1
1,70.0,2,18,0,4303,0,0,1,0,21,0,0,1
1,2.0,1,49,1,2561,0,0,1,0,7,1,0,0
1,100.0,2,31,1,3639,0,0,1,0,6,1,0,0
1,85.0,1,19,0,5586,0,0,1,0,14,0,1,0
0,43.0,2,77,1,7009,1,0,0,1,22,0,0,1
0,81.0,5,62,0,8532,0,0,0,1,22,0,0,1
0,86.0,3,17,0,9526,0,1,0,0,6,1,0,0
1,50.0,4,68,0,8961,1,0,0,1,15,0,1,0
0,64.0,0,55,0,3133,1,0,0,1,6,1,0,0
0,20.0,0,68,1,3653,1,0,0,1,7,1,0,0
0,4.0,4,63,0,4122,1,0,0,1,6,1,0,0
1,89.0,4,51,1,4605,1,0,0,1,6,1,0,0
1,35.0,3,45,0,341,1,0,1,0,14,0,1,0
1,7.0,2,69,1,9467,0,0,0,1,7,1,0,0
1,86.0,4,34,1,223,1,0,1,0,7,1,0,0
1,14.0,5,45,1,3641,1,0,1,0,6,1,0,0
1,64.0,3,62,0,8099,0,0,0,1,7,1,0,0
1,42.0,1,64,0,1160,0,0,0,1,7,1,0,0
1,57.0,3,23,1,7139,1,0,1,0,23,0,0,1
1,75.0,0,18,0,7807,1,0,1,0,23,0,0,1
0,95.0,4,24,1,3321,1,0,1,0,23,0,0,1
0,54.0,2,11,0,31,1,1,0,0,14,0,1,0
0,64.0,0,22,1,8879,1,0,1,0,7,1,0,0
1,36.0,0,22,1,1165,0,0,1,0,23,0,0,1
1,64.0,1,23,0,1699,0,0,1,0,7,1,0,0
0,72.0,3,64,0,1988,0,0,0,1,7,1,0,0
0,42.0,0,47,1,4879,1,0,1,0,23,0,0,1
0,55.0,4,62,0,4386,0,0,0,1,22,0,0,1
1,95.0,0,14,0,4529,1,1,0,0,7,1,0,0
1,94.0,4,52,1,9452,0,0,0,1,15,0,1,0
1,31.0,0,62,0,7612,0,0,0,1,14,0,1,0
0,99.0,0,22,0,562,1,0,1,0,15,0,1,0
1,66.0,2,69,0,9291,1,0,0,1,6,1,0,0
1,22.0,0,79,1,4102,1,0,0,1,15,0,1,0
0,84.0,0,72,1,9249,1,0,0,1,15,0,1,0
1,93.0,0,25,1,8858,0,0,1,0,23,0,0,1
0,97.0,5,38,0,8872,0,0,1,0,7,1,0,0
1,62.0,5,58,1,15,1,0,0,1,6,1,0,0
1,74.0,3,78,0,5352,0,0,0,1,22,0,0,1
0,87.0,1,49,1,9201,1,0,1,0,6,1,0,0
1,77.0,4,16,0,3619,1,1,0,0,7,1,0,0
0,79.0,0,62,1,2814,0,0,0,1,15,0,1,0
0,34.0,3,30,0,4853,0,0,1,0,14,0,1,0
1,81.0,0,45,1,4028,1,0,1,0,23,0,0,1
1,16.0,5,43,1,7221,1,0,1,0,8,1,0,0
0,35.0,3,38,1,1379,1,0,1,0,7,1,0,0
1,4.0,4,70,0,7259,1,0,0,1,7,1,0,0
1,7.0,5,47,1,4854,1,0,1,0,22,0,0,1
1,6.0,1,27,0,6746,1,0,1,0,6,1,0,0
0,4.0,3,51,0,5834,0,0,0,1,21,0,0,1
1,2.0,1,25,0,6826,1,0,1,0,21,0,0,1
0,42.0,4,48,1,3698,1,0,1,0,15,0,1,0
1,62.0,0,11,0,4676,1,1,0,0,21,0,0,1
1,27.0,0,48,0,4673,1,0,1,0,15,0,1,0
1,93.0,1,44,1,8377,1,0,1,0,7,1,0,0
1,69.0,5,61,1,4076,1,0,0,1,15,0,1,0
1,38.0,3,26,1,4980,0,0,1,0,22,0,0,1
0,96.0,2,74,0,426,0,0,0,1,14,0,1,0
0,50.0,3,73,1,4204,0,0,0,1,21,0,0,1
1,67.0,0,61,1,7754,1,0,0,1,14,0,1,0
1,78.0,2,79,1,8091,0,0,0,1,15,0,1,0
1,74.0,5,51,1,4588,0,0,0,1,21,0,0,1
1,20.0,0,66,1,1919,1,0,0,1,21,0,0,1
0,42.0,0,18,0,6891,0,0,1,0,6,1,0,0
1,17.0,5,34,0,4448,0,0,1,0,6,1,0,0
1,24.0,4,53,1,2022,0,0,0,1,14,0,1,0
1,52.0,5,24,0,1925,1,0,1,0,6,1,0,0
0,70.0,0,72,1,4626,1,0,0,1,7,1,0,0
1,65.0,1,42,0,2145,0,0,1,0,21,0,0,1
1,52.0,2,15,0,4201,1,1,0,0,14,0,1,0
0,96.0,2,41,1,7376,0,0,1,0,15,0,1,0
1,29.0,0,64,1,316,1,0,0,1,7,1,0,0
0,42.0,2,45,1,5432,0,0,1,0,21,0,0,1
1,76.0,1,24,0,960,0,0,1,0,6,1,0,0
0,94.0,2,61,0,3715,0,0,0,1,15,0,1,0
0,80.0,1,42,1,2203,1,0,1,0,8,1,0,0
1,61.0,2,48,0,5479,0,0,1,0,14,0,1,0
0,53.0,2,29,0,4113,1,0,1,0,7,1,0,0
0,55.0,5,36,0,1126,0,0,1,0,14,0,1,0
0,52.0,0,58,1,8167,0,0,0,1,14,0,1,0
1,31.0,4,37,0,9486,1,0,1,0,6,1,0,0
1,69.0,2,66,1,5954,1,0,0,1,7,1,0,0
